STATION_CODE,DATETIME,global_radiation,precipitation,relative_humidity,snow_level,temperature,wind_direction,wind_gust,wind_speed,UNIQUE_IDENTIFIER
T0009,2024-01-23T18:45:00+01,,0.0,,,4.4,,,,75_daily_weather
T0009,2024-01-23T19:00:00+01,,0.0,,,4.4,,,,76_daily_weather
T0009,2024-01-23T19:15:00+01,,0.0,,,4.2,,,,77_daily_weather
T0009,2024-01-23T19:30:00+01,,0.0,,,4.0,,,,78_daily_weather
T0009,2024-01-23T19:45:00+01,,0.0,,,4.1,,,,79_daily_weather
T0009,2024-01-23T20:00:00+01,,0.0,,,3.9,,,,80_daily_weather
T0009,2024-01-23T20:15:00+01,,0.0,,,3.5,,,,81_daily_weather
T0009,2024-01-23T20:30:00+01,,0.0,,,3.4,,,,82_daily_weather
T0009,2024-01-23T20:45:00+01,,0.0,,,3.5,,,,83_daily_weather
T0009,2024-01-23T21:00:00+01,,0.0,,,3.4,,,,84_daily_weather
T0009,2024-01-23T21:15:00+01,,0.0,,,3.5,,,,85_daily_weather
T0009,2024-01-23T21:30:00+01,,0.0,,,3.4,,,,86_daily_weather
T0009,2024-01-23T21:45:00+01,,0.0,,,3.3,,,,87_daily_weather
T0009,2024-01-23T22:00:00+01,,0.0,,,3.2,,,,88_daily_weather
T0009,2024-01-23T22:15:00+01,,0.0,,,3.1,,,,89_daily_weather
T0009,2024-01-23T22:30:00+01,,0.0,,,3.5,,,,90_daily_weather
T0009,2024-01-23T22:45:00+01,,0.0,,,3.6,,,,91_daily_weather
T0009,2024-01-23T23:00:00+01,,0.0,,,3.4,,,,92_daily_weather
T0009,2024-01-23T23:15:00+01,,0.0,,,2.7,,,,93_daily_weather
T0009,2024-01-23T23:30:00+01,,0.0,,,2.4,,,,94_daily_weather
T0009,2024-01-23T23:45:00+01,,0.0,,,2.2,,,,95_daily_weather
T0009,2024-01-24T00:00:00+01,,0.0,,,2.2,,,,96_daily_weather
T0009,2024-01-24T00:15:00+01,,0.0,,,2.2,,,,97_daily_weather
T0009,2024-01-24T00:30:00+01,,0.0,,,2.1,,,,98_daily_weather
T0009,2024-01-24T00:45:00+01,,0.0,,,2.4,,,,99_daily_weather
T0009,2024-01-24T01:00:00+01,,0.0,,,2.0,,,,100_daily_weather
T0009,2024-01-24T01:15:00+01,,0.0,,,2.1,,,,101_daily_weather
T0009,2024-01-24T01:30:00+01,,0.0,,,1.9,,,,102_daily_weather
T0009,2024-01-24T01:45:00+01,,0.0,,,2.0,,,,103_daily_weather
T0009,2024-01-24T02:00:00+01,,0.0,,,2.5,,,,104_daily_weather
T0009,2024-01-24T02:15:00+01,,0.0,,,2.6,,,,105_daily_weather
T0009,2024-01-24T02:30:00+01,,0.0,,,2.7,,,,106_daily_weather
T0009,2024-01-24T02:45:00+01,,0.0,,,2.7,,,,107_daily_weather
T0009,2024-01-24T03:00:00+01,,0.0,,,2.5,,,,108_daily_weather
T0009,2024-01-24T03:15:00+01,,0.0,,,2.4,,,,109_daily_weather
T0009,2024-01-24T03:30:00+01,,0.0,,,2.3,,,,110_daily_weather
T0009,2024-01-24T03:45:00+01,,0.0,,,1.6,,,,111_daily_weather
T0009,2024-01-24T04:00:00+01,,0.0,,,1.5,,,,112_daily_weather
T0009,2024-01-24T04:15:00+01,,0.0,,,1.6,,,,113_daily_weather
