SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT2247A_7_UV-P_2017-02-07_00:00:00,20231026000000,20231026000000,O3,50.33333,Âµg/m3,background,urban,2.0,IT2247A,Villa Guglielmi,1362221.1729,5126324.9979,via di Villa Guglielmi - Fiumicino (RM),True
SPO.IT2213A_7_UV-P_2015-01-01_00:00:00,20231026000000,20231026000000,O3,42.2375,Âµg/m3,background,suburban,191.0,IT2213A,Cava de' Tirreni Stadio,1636668.1342,4969805.7631,via G. Palumbo - Cava de' Tirreni (SA),True
SPO.IT2212A_7_UV-P_2015-01-01_00:00:00,20231026000000,20231026000000,O3,34.60421,Âµg/m3,background,urban,31.0,IT2212A,San Vitaliano Scuola Elementare Marconi,1612054.2816,5001183.8083,via Roma - San Vitaliano (NA),True
SPO.IT2207A_7_UV-P_2014-02-01_00:00:00,20231026000000,20231026000000,O3,69.40814,Âµg/m3,background,urban,0.0,IT2207A,Gela - Capo Soprano,1583391.0712,4449662.6735,"Gela, Via delle Ande c/o I.T.I. Morselli",True
SPO.IT2170A_7_UV-P_2007-01-10_00:00:00,20231026000000,20231026000000,O3,8.447143,Âµg/m3,background,rural,0.0,IT2170A,Malisana,1476343.5772,5750086.2446,via Marconi - Torviscosa (UD),True
SPO.IT2169A_7_UV-P_2007-01-10_00:00:00,20231026000000,20231026000000,O3,29.66952,Âµg/m3,background,rural,3.0,IT2169A,Castions,1480765.6326,5755056.7117,via della Villa - Bagnaria Arsa (UD),True
SPO.IT2168A_7_UV-P_1996-01-01_00:00:00,20231026000000,20231026000000,O3,8.761905,Âµg/m3,background,urban,243.0,IT2168A,Torino Lingotto,851493.917,5625442.3337,"Viale Augusto Monti, 21 zona Lingotto",True
SPO.IT2167A_7_UV-P_2017-01-01_00:00:00,20231026000000,20231026000000,O3,70.2381,Âµg/m3,background,suburban,6.0,IT2167A,Francavilla,1589549.9334,5224312.1258,SS 16 -loc Stadio - Francavilla al Mare (CH),True
SPO.IT2166A_7_UV-P_2017-01-01_00:00:00,20231026000000,20231026000000,O3,67.04762,Âµg/m3,background,urban,50.0,IT2166A,Scuola Antonelli,1573810.4705,5212966.8717,Via Feltrino - Chieti (CH),True
SPO.IT2165A_7_UV-P_2017-01-01_00:00:00,20231026000000,20231026000000,O3,74.125,Âµg/m3,background,suburban,201.0,IT2165A,Villa Caldari,1598083.6855,5204980.0018,SS 538 - Ortona (CH),True
SPO.IT2133A_7_UV-P_2013-12-21_00:00:00,20231026000000,20231026000000,O3,28.84286,Âµg/m3,background,rural,4.0,IT2133A,A2A Papariano,1494278.2604,5748267.3843,"via Brancolo 79, Papariano - Fiumicello (UD)",True
SPO.IT2132A_7_UV-P_2013-12-18_00:00:00,20231026000000,20231026000000,O3,31.2181,Âµg/m3,background,rural,10.0,IT2132A,A2A Vermegliano,1502937.8035,5754175.6466,"via delle Mostegane, Vermigliano - Ronchi dei Legionari (GO)",True
SPO.IT2131A_7_UV-P_2013-12-16_00:00:00,20231026000000,20231026000000,O3,36.98476,Âµg/m3,background,rural,0.0,IT2131A,A2A Fossalon,1501294.7279,5737444.951,via Eraclea - Grado (GO),True
SPO.IT2130A_7_UV-P_2013-12-19_00:00:00,20231026000000,20231026000000,O3,38.68,Âµg/m3,background,rural,114.0,IT2130A,A2A Doberdo',1507608.7694,5755223.8586,via Vallone 26 - Doberdo del Lago (GO),True
SPO.IT2129A_7_UV-P_2013-12-12_00:00:00,20231026000000,20231026000000,O3,30.64762,Âµg/m3,background,urban,5.0,IT2129A,A2A Via Natisone,1505267.7205,5749183.954,via Natisone 4 - Monfalcone (GO),True
SPO.IT2100A_7_UV-P_2013-01-01_00:00:00,20231026000000,20231026000000,O3,50.415,Âµg/m3,background,suburban,242.0,IT2100A,Magione,1358747.1143,5332246.3057,Via della Libertï¿½ - Magione (PG),True
SPO.IT2098A_7_UV-P_2013-01-29_00:00:00,20231026000000,20231026000000,O3,5.018948,Âµg/m3,background,suburban,181.0,IT2098A,MONZA PARCO,1032611.8417,5716832.234,Via Mirabellino - Monza (MB),True
SPO.IT2097A_7_UV-P_2012-01-01_00:00:00,20231026000000,20231026000000,O3,57.05263,Âµg/m3,background,rural,811.0,IT2097A,CASTELLUCCIO,1216289.1129,5488684.4479,Via Montecavallo - Porretta Terme (BO),True
SPO.IT2096A_7_UV-P_2012-03-09_00:00:00,20231026000000,20231026000000,O3,6.869524,Âµg/m3,background,urban,260.0,IT2096A,BZ6 Bolzano,1262582.325,5860705.6048,VIA AMBA ALAGI 5 - Bolzano (BZ),True
SPO.IT2052A_7_UV-P_2012-02-24_00:00:00,20231026000000,20231026000000,O3,66.70316,Âµg/m3,background,urban,135.0,IT2052A,CT - Parco Gioeni,1678822.8216,4513137.398,"Catania, Via Antonino Ferrarotto, 42-50",True
SPO.IT2040A_7_UV-P_2011-05-19_00:00:00,20231026000000,20231026000000,O3,45.53289,Âµg/m3,background,urban,8.0,IT2040A,CENQU1,1022809.7153,4755070.0855,via Perdalonga - Quartu Sant'Elena (CA),True
SPO.IT2033A_7_UV-P_2011-01-01_00:00:00,20231026000000,20231026000000,O3,76.58649,Âµg/m3,background,suburban,501.0,IT2033A,RG - Campo Atletica,1640183.8264,4427560.5325,"Ragusa, Largio Caduti sul Lavoro c/o Campo di Atletica Petrulli",True
SPO.IT2005A_7_UV-P_2011-06-01_00:00:00,20231026000000,20231026000000,O3,59.95919,Âµg/m3,background,suburban,17.0,IT2005A,CEOLB1,1056607.5372,5001653.8046,OLBIA - PARCO OLBIA - VICINO VIA FAUSTO NOCE - Olbia (OT),True
SPO.IT1247A_7_UV-P_1999-01-01_00:00:00,20231026000000,20231026000000,O3,27.57143,Âµg/m3,background,urban,405.0,IT1247A,Biella - Sturzo,896834.3456,5709926.3205,"Via Don Sturzo, 20",True
SPO.IT1246A_7_UV-P_1999-01-01_00:00:00,20231026000000,20231026000000,O3,28.76191,Âµg/m3,background,urban,271.0,IT1246A,Cossato - Pace,911439.4628,5711548.1418,"piazza della Pace, 2",True
SPO.IT1222A_7_UV-P_2003-09-18_00:00:00,20231026000000,20231026000000,O3,18.25,Âµg/m3,background,urban,3.0,IT1222A,SAN DONA' DI PIAVE,1401697.9587,5721297.6778,VIA TURATI,True
SPO.IT1214A_7_UV-P_1990-01-02_00:00:00,20231026000000,20231026000000,O3,14.05263,Âµg/m3,background,urban,3.0,IT1214A,RO - Borsea,1312580.4724,5627777.0713,VIA GROTTO,True
SPO.IT1177A_7_UV-P_2008-05-12_00:00:00,20231026000000,20231026000000,O3,7.473684,Âµg/m3,background,urban,36.0,IT1177A,VI - Quartiere Italia,1284595.9769,5710205.5072,VIA TOMMASEO,True
SPO.IT1176A_7_UV-P_1998-03-17_00:00:00,20231026000000,20231026000000,O3,27.09524,Âµg/m3,background,urban,28.0,IT1176A,L.GO PERESTRELLO,1396126.5295,5143920.905,LARGO PERESTRELLO - Roma (RM),True
SPO.IT1174A_7_UV-P_1998-03-01_00:00:00,20231026000000,20231026000000,O3,14.14515,Âµg/m3,background,rural,100.0,IT1174A,MOTTA VISCONTI,1000700.3286,5666149.4958,VIA A. DE GASPERI - Motta Visconti (MI),True
SPO.IT1170A_7_UV-P_1998-02-02_00:00:00,20231026000000,20231026000000,O3,25.5555,Âµg/m3,background,suburban,100.0,IT1170A,S.Osvaldo,1472231.2126,5785959.7699,via Adriatica - Udine (UD),True
