SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT0063A_5_BETA_2000-05-05_00:00:00,20231026000000,20231026000000,PM10,13.0,Âµg/m3,industrial,suburban,37.0,IT0063A,LI-COTONE,1172658.1064,5302717.0231,MAGAZZINI COMUNALI - LOC. COTONE - Piombino (LI),True
SPO.IT2300A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,24.1,Âµg/m3,traffic,urban,151.0,IT2300A,BRESCIA â VIA TARTAGLIA,1139014.3506,5706716.9361,VIA TARTAGLIA - Brescia (BS),True
SPO.IT2300A_5_BETA_2021-01-01_00:00:00,20231026000000,20231026000000,PM10,24.1,Âµg/m3,traffic,urban,151.0,IT2300A,BRESCIA â VIA TARTAGLIA,1139014.3506,5706716.9361,VIA TARTAGLIA - Brescia (BS),True
SPO.IT2288A_5_BETA_2018-01-01_00:00:00,20231026000000,20231026000000,PM10,21.23613,Âµg/m3,background,urban,10.0,IT2288A,a2a - Milazzo,1697351.3943,4612176.4214,"Milazzo, Salita Cappuccini s.n.",True
SPO.IT2284A_5_OPC-CMC_2019-01-01_00:00:00,20231026000000,20231026000000,PM10,13.79524,Âµg/m3,industrial,suburban,583.0,IT2284A,AOSTA I maggio,815069.0664,5737569.3454,Via I maggio,True
SPO.IT0461A_5_BETA_2002-09-01_00:00:00,20231026000000,20231026000000,PM10,0.0,Âµg/m3,industrial,suburban,10.0,IT0461A,FALCONARA SCUOLA,1490289.683,5408873.3895,VIA CAMPANELLA C/O SCUOLA ELEMENTARE - Falconara Marittima (AN),True
SPO.IT0460A_5_BETA_2003-11-10_00:00:00,20231026000000,20231026000000,PM10,0.0,Âµg/m3,traffic,urban,100.0,IT0460A,JESI,1474426.6556,5392524.5395,VIA DEL LAVORO - Jesi (AN),True
SPO.IT0459A_5_BETA_2006-02-20_00:00:00,20231026000000,20231026000000,PM10,14.65625,Âµg/m3,background,suburban,15.0,IT0459A,CHIARAVALLE2,1485217.967,5403577.8642,VIA GRANCETTA - Chiaravalle (AN),True
SPO.IT0267A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,2.685,Âµg/m3,background,suburban,80.0,IT0267A,TAVAZZANO,1048042.059,5673535.6699,Cascina Bagnolo - Tavazzano con Villavesco (LO),True
SPO.IT2261A_5_BETA_2016-05-20_00:00:00,20231026000000,20231026000000,PM10,15.47684,Âµg/m3,traffic,urban,24.0,IT2261A,piazza Volontari Giuliani,1534978.8926,5725136.9,Piazza Volontari Giuliani - Trieste (TS),True
