SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT0862A_6001_BETA_2002-10-04_00:00:00,20231026000000,20231026000000,PM2.5,5.0,Âµg/m3,background,urban,61.0,IT0862A,FI-BASSI,1256518.7523,5432488.0073,VIALE UGO BASSI - Firenze (FI),True
SPO.IT0861A_6001_BETA_2002-10-04_00:00:00,20231026000000,20231026000000,PM2.5,8.0,Âµg/m3,traffic,urban,49.0,IT0861A,FI-GRAMSCI,1254817.7905,5430389.5986,VIALE ANTONIO GRAMSCI - Firenze (FI),True
SPO.IT0778A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,22.28618,Âµg/m3,traffic,urban,125.0,IT0778A,TREVIGLIO,1067708.5395,5703494.8819,P.ZZA INSURREZIONE - Treviglio (BG),True
SPO.IT0777A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,10.4,Âµg/m3,traffic,urban,292.0,IT0777A,MERATE,1047092.4971,5732078.4379,VIA MADONNA DI LORETO-USSL 14 - Merate (LC),True
SPO.IT0703A_6001_nephelometry_beta_2011-03-10_00:00:00,20231026000000,20231026000000,PM2.5,9.755714,Âµg/m3,background,suburban,380.0,IT0703A,BORGO VAL,1275041.2024,5788660.5119,VIA 4 NOVEMBRE - Borgo Valsugana (TN),True
SPO.IT2282A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,11.35,Âµg/m3,background,urban,154.0,IT2282A,Novara - Arpa,959618.5384,5691010.9162,Viale Roma 7,True
SPO.IT2241A_6001_BETA_2015-11-28_00:00:00,20231026000000,20231026000000,PM2.5,6.0,Âµg/m3,traffic,urban,42.0,IT2241A,MS-MARINA-VECCHIA,1127973.6835,5470256.242,Massa - Massa (MS),True
SPO.IT2167A_6001_BETA_2017-01-01_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,background,suburban,6.0,IT2167A,Francavilla,1589549.9334,5224312.1258,SS 16 -loc Stadio - Francavilla al Mare (CH),True
SPO.IT2166A_6001_BETA_2017-01-01_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,background,urban,50.0,IT2166A,Scuola Antonelli,1573810.4705,5212966.8717,Via Feltrino - Chieti (CH),True
SPO.IT2032A_6001_BETA_2011-09-02_00:00:00,20231026000000,20231026000000,PM2.5,4.0,Âµg/m3,background,urban,105.0,IT2032A,SI-POGGIBONSI,1240315.0872,5384212.9,VIA DE AMICIS - Poggibonsi (SI),True
SPO.IT1264A_6001_BETA_2011-09-24_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,traffic,urban,9.0,IT1264A,PE - VIA FIRENZE,1582190.6018,5231100.4649,VIA FIRENZE c/o LICEO GINNASIO - Pescara (PE),True
SPO.IT1153A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,19.8,Âµg/m3,traffic,urban,45.0,IT1153A,CREMONA - P.ZZA CADORNA,1115050.2699,5642448.9417,P.ZZA CADORNA - Cremona (CR),True
SPO.IT0840A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,21.7,Âµg/m3,traffic,suburban,70.0,IT0840A,SORESINA,1098074.0475,5666457.0657,INCROCIO V.LANDRIANI/V.PIAVE - Soresina (CR),True
SPO.IT0707A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,10.3,Âµg/m3,background,urban,249.0,IT0707A,BERGAMO - VIA MEUCCI,1073552.8127,5730854.213,VIA MEUCCI - Bergamo (BG),True
SPO.IT0499A_6001_nephelometry_beta_2007-12-28_00:00:00,20231026000000,20231026000000,PM2.5,9.965,Âµg/m3,background,urban,640.0,IT0499A,LA1 Laces,1208825.0297,5880181.5796,VIA STAZIONE - Laces (BZ),True
SPO.IT0480A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,20.2,Âµg/m3,traffic,urban,137.0,IT0480A,SESTO S.GIOVANNI,1028190.1202,5705966.6564,VIA FANTI D.ITALIA - Sesto San Giovanni (MI),True
SPO.IT1868A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,10.40258,Âµg/m3,background,urban,22.0,IT1868A,MANTOVA SANT'AGNESE,1201755.7968,5646833.2568,Vicolo Sant'Agnese - Mantova (MN),True
SPO.IT1865A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,13.5,Âµg/m3,background,rural,16.0,IT1865A,SCHIVENOGLIA,1232399.1583,5621039.7647,lott.ne artigianale - Schivenoglia (MN),True
SPO.IT1827A_6001_BETA_2006-10-01_00:00:00,20231026000000,20231026000000,PM2.5,23.96364,Âµg/m3,background,urban,100.0,IT1827A,Ancona Cittadella,1503771.5865,5405542.5746,Parco Cittadella - Ancona (AN),True
SPO.IT1826A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,6.3,Âµg/m3,background,urban,267.0,IT1826A,LECCO VIA SORA,1045939.3451,5756255.2537,VIA SORA - Lecco (LC),True
SPO.IT1743A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,28.3,Âµg/m3,background,urban,162.0,IT1743A,MONZA - VIA  MACHIAVELLI,1032425.9382,5713474.0397,via MACHIAVELLI - Monza (MB),True
SPO.IT1654A_6001_BETA_2007-01-01_00:00:00,20231026000000,20231026000000,PM2.5,7.0,Âµg/m3,background,urban,54.0,IT1654A,PO-ROMA,1234749.1127,5445775.6564,VIA ROMA - Prato (PO),True
SPO.IT1560A_6001_BETA_2002-05-18_00:00:00,20231026000000,20231026000000,PM2.5,5.0,Âµg/m3,traffic,urban,9.0,IT1560A,LI-CARDUCCI,1149899.1704,5396790.68,VIALE CARDUCCI - Livorno (LI),True
