SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT2079A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,26.45905,Âµg/m3,background,urban,109.0,IT2079A,VIGEVANO - VIA VALLETTA,8.84583299997902,45.30444399981068,Via Valletta Fogliano 70 - Vigevano (PV),True
SPO.IT2049A_5_BETA_2011-10-05_00:00:00,20231026000000,20231026000000,PM10,2.8083,Âµg/m3,background,urban,5.0,IT2049A,CENAS9,9.011388999819378,39.28638899993495,"VIA SICILIA, ASSEMINI - Assemini (CA)",True
SPO.IT2007A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,13.83761,Âµg/m3,background,urban,323.0,IT2007A,ERBA- Via Battisti,9.222778000364663,45.809443999864506,Via Battisti - Erba (CO),True
SPO.IT1264A_5_BETA_1999-04-01_00:00:00,20231026000000,20231026000000,PM10,0.0,Âµg/m3,traffic,urban,9.0,IT1264A,PE - VIA FIRENZE,14.213059999872035,42.46638999967155,VIA FIRENZE c/o LICEO GINNASIO - Pescara (PE),True
SPO.IT1168A_5_BETA_2014-03-09_00:00:00,20231026000000,20231026000000,PM10,11.61,Âµg/m3,background,suburban,62.0,IT1168A,S.Giovanni al Natisone,13.39333300013702,45.97333299973718,Via Madonna de Taviele - San Giovanni al Natisone (UD),True
SPO.IT1104A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,41.6581,Âµg/m3,traffic,urban,77.0,IT1104A,PAVIA - P.ZZA MINERVA,9.146944000048608,45.18555599982121,P.ZZA MINERVA - Pavia (PV),True
SPO.IT1090A_5_BETA_2001-10-02_00:00:00,20231026000000,20231026000000,PM10,13.95571,Âµg/m3,industrial,suburban,50.0,IT1090A,Via Carpineto,13.78749999988987,45.62305599974649,via del Carpineto - Trieste (TS),True
SPO.IT1071A_5_BETA_1997-11-11_00:00:00,20231026000000,20231026000000,PM10,19.0,Âµg/m3,background,suburban,16.0,IT1071A,PI-SANTA-CROCE-COOP,10.771666999688204,43.71305600020014,VIA DEL CONCILIO - Santa Croce sull'Arno (PI),True
SPO.IT0840A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,30.1,Âµg/m3,traffic,suburban,70.0,IT0840A,SORESINA,9.864166999642354,45.284721999699855,INCROCIO V.LANDRIANI/V.PIAVE - Soresina (CR),True
SPO.IT0839A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,25.7,Âµg/m3,background,suburban,79.0,IT0839A,CREMA,9.70499999956234,45.36722000007451,VIA XI FEBBRAIO - Crema (CR),True
SPO.IT0837A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,21.26762,Âµg/m3,background,urban,190.0,IT0837A,FILAGO,9.556389999802985,45.63305999972261,VIA DON MILANI - Filago (BG),True
SPO.IT0832A_5_BETA_1998-04-01_00:00:00,20231026000000,20231026000000,PM10,14.0,Âµg/m3,traffic,urban,256.0,IT0832A,AR-REPUBBLICA,11.876669999822594,43.46250000031228,VIALE MICHELANGELO - Arezzo (AR),True
SPO.IT0709A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,28.1,Âµg/m3,industrial,urban,18.0,IT0709A,MANTOVA - VIA ARIOSTO,10.80333299972899,45.144443999995595,VIA ARIOSTO - Mantova (MN),True
SPO.IT0707A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,16.8,Âµg/m3,background,urban,249.0,IT0707A,BERGAMO - VIA MEUCCI,9.643888999579119,45.69027800004526,VIA MEUCCI - Bergamo (BG),True
SPO.IT0706A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,26.5,Âµg/m3,background,urban,123.0,IT0706A,LIMITO,9.327500000231232,45.48277800011663,VIA PALERMO ANGOLO VIA EMILIA - Pioltello (MI),True
SPO.IT0591A_5_nephelometry_beta_2002-04-16_00:00:00,20231026000000,20231026000000,PM10,21.43429,Âµg/m3,background,urban,200.0,IT0591A,ROVERETO LGP,11.039410000375744,45.89243999988476,via Manzoni - Rovereto (TN),True
SPO.IT0705A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,32.68917,Âµg/m3,traffic,urban,122.0,IT0705A,MILANO - VERZIERE,9.195833000179832,45.4627779999288,VIA BECCARIA 19 - Milano (MI),True
SPO.IT0508A_5_nephelometry_beta_2020-01-01_00:00:00,20231026000000,20231026000000,PM10,14.42429,Âµg/m3,background,urban,830.0,IT0508A,BR1 Brunico,11.944029999824078,46.79734999983805,VIA GOETHE - Brunico (BZ),True
SPO.IT0507A_5_nephelometry_beta_2019-01-01_00:00:00,20231026000000,20231026000000,PM10,15.57905,Âµg/m3,background,urban,564.0,IT0507A,BX1 Bressanone,11.65408000032273,46.71492000018391,VIALE RATISBONA - Bressanone (BZ),True
SPO.IT0499A_5_nephelometry_beta_2015-01-01_00:00:00,20231026000000,20231026000000,PM10,15.99,Âµg/m3,background,urban,640.0,IT0499A,LA1 Laces,10.859060000057443,46.6194699999383,VIA STAZIONE - Laces (BZ),True
SPO.IT1869A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,23.11731,Âµg/m3,traffic,urban,19.0,IT1869A,MANTOVA - piazza GRAMSCI,10.781940000326733,45.16443999986002,P.zzale Gramsci - Mantova (MN),True
SPO.IT1868A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,24.08168,Âµg/m3,background,urban,22.0,IT1868A,MANTOVA SANT'AGNESE,10.795556000446737,45.16055599972534,Vicolo Sant'Agnese - Mantova (MN),True
SPO.IT1865A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,23.0,Âµg/m3,background,rural,16.0,IT1865A,SCHIVENOGLIA,11.070830000369234,44.99694000011139,lott.ne artigianale - Schivenoglia (MN),True
SPO.IT1827A_5_BETA_2006-10-01_00:00:00,20231026000000,20231026000000,PM10,0.0,Âµg/m3,background,urban,100.0,IT1827A,Ancona Cittadella,13.508609999776109,43.61167000005721,Parco Cittadella - Ancona (AN),True
SPO.IT1826A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,10.6,Âµg/m3,background,urban,267.0,IT1826A,LECCO VIA SORA,9.395832999652926,45.849443999734355,VIA SORA - Lecco (LC),True
SPO.IT1819A_5_BETA_2007-06-01_00:00:00,20231026000000,20231026000000,PM10,20.0,Âµg/m3,background,urban,98.0,IT1819A,MS-COLOMBAROTTO,10.097222000299684,44.07833299970809,PIAZZA 2 GIUGNO - Carrara (MS),True
SPO.IT1743A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,30.2,Âµg/m3,background,urban,162.0,IT1743A,MONZA - VIA  MACHIAVELLI,9.274440000064963,45.58111000029777,via MACHIAVELLI - Monza (MB),True
SPO.IT1654A_5_BETA_1997-11-04_00:00:00,20231026000000,20231026000000,PM10,13.0,Âµg/m3,background,urban,54.0,IT1654A,PO-ROMA,11.091939999914274,43.87278000027859,VIA ROMA - Prato (PO),True
SPO.IT1571A_5_BETA_2009-10-20_00:00:00,20231026000000,20231026000000,PM10,10.0,Âµg/m3,background,urban,80.0,IT1571A,PT-SIGNORELLI,10.905280000376658,43.940830000165136,VIA SIGNORELLI - Pistoia (PT),True
SPO.IT1560A_5_BETA_2002-01-15_00:00:00,20231026000000,20231026000000,PM10,17.0,Âµg/m3,traffic,urban,9.0,IT1560A,LI-CARDUCCI,10.329719999666779,43.55471999989844,VIALE CARDUCCI - Livorno (LI),True
SPO.IT1557A_5_BETA_2014-01-01_00:00:00,20231026000000,20231026000000,PM10,19.0,Âµg/m3,background,urban,13.0,IT1557A,LI-CAPPIELLO,10.321667000200005,43.51999999968825,PIAZZA CAPPIELLO - Livorno (LI),True
SPO.IT1553A_5_BETA_2000-12-01_00:00:00,20231026000000,20231026000000,PM10,12.0,Âµg/m3,background,rural,48.0,IT1553A,PT-MONTALE,11.006940000070836,43.91610999987526,VIA PACINOTTI - Montale (PT),True
SPO.IT1551A_5_BETA_1993-04-01_00:00:00,20231026000000,20231026000000,PM10,9.0,Âµg/m3,background,urban,45.0,IT1551A,FI-SCANDICCI,11.192780000349115,43.75694000022683,VIA BUOZZI - Scandicci (FI),True
SPO.IT1504A_5_BETA_2016-03-10_22:00:00,20231026000000,20231026000000,PM10,19.08095,Âµg/m3,traffic,urban,35.0,IT1504A,SA22 Ospedale via Vernieri,14.769720000366254,40.6838899996754,Via Pio XI - Salerno (SA),True
SPO.IT1493A_5_BETA_2016-03-09_17:00:00,20231026000000,20231026000000,PM10,18.31,Âµg/m3,traffic,suburban,33.0,IT1493A,NA09 I.T.I.S. ARGINE,14.341079999770034,40.86427000012032,"VIA ARGINE, 902 - Napoli (NA)",True
SPO.IT1491A_5_BETA_2016-03-09_20:00:00,20231026000000,20231026000000,PM10,28.255,Âµg/m3,traffic,urban,13.0,IT1491A,NA07 ENTE FERROVIE,14.271670000272739,40.853609999756266,"CORSO NOVARA,10 - Napoli (NA)",True
SPO.IT1423A_5_BETA_1999-04-01_00:00:00,20231026000000,20231026000000,PM10,0.0,Âµg/m3,background,urban,4.0,IT1423A,PE - TEATRO D'ANNUNZIO,14.234720000136297,42.456390000146165,LUNGOMARE C. COLOMBO 120 - Pescara (PE),True
SPO.IT1420A_5_BETA_2016-01-01_00:00:00,20231026000000,20231026000000,PM10,0.0,Âµg/m3,industrial,suburban,61.0,IT1420A,ATESSA,14.441110000092966,42.14167000019292,Loc. Piazzano - Atessa (CH),True
SPO.IT1409A_5_BETA_1998-03-12_00:00:00,20231026000000,20231026000000,PM10,14.0,Âµg/m3,traffic,urban,5.0,IT1409A,PI-BORGHETTO,10.410560000244143,43.71388999995921,PIAZZA DEL ROSSO - Pisa (PI),True
