NO2_VALUE,PM10_VALUE,PM_25_VALUE,SO2_VALUE,O3_VALUE,DATETIME,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,ALTITUDE,UNIQUE_IDENTIFIER,STATIONCODE
30.48571,22.08048,,,,20231026000000,TRENTO VBZ,11.110230000034568,46.10434000029117,Via Bolzano - Trento (TN),197.0,0_daily_pollution,IT1859A
5.277619,6.63381,,,68.02333,20231026000000,MONTE GAZA,10.958040000068957,46.082530000183,MALGA GAZA - Vallelaghi (TN),1601.0,1_daily_pollution,IT1191A
23.23286,16.17809,9.994286,1.834762,7.400476,20231026000000,TRENTO PSC,11.12620000032231,46.06292999970768,PARCO SANTA CHIARA - Trento (TN),203.0,2_daily_pollution,IT1037A
16.76524,16.30048,9.755714,,11.87905,20231026000000,BORGO VAL,11.453889999980522,46.05184000019839,VIA 4 NOVEMBRE - Borgo Valsugana (TN),380.0,3_daily_pollution,IT0703A
,,,,7.495714,20231026000000,CR2 Cortina sulla strada del vino,11.223240000442871,46.26405999986327,VIA PALUDI - Cortina ssdv (BZ),212.0,4_daily_pollution,IT2285A
,,,,6.402857,20231026000000,PIANA ROTALIANA,11.113430000299225,46.1968399996924,Sette Pergole - Mezzolombardo (TN),227.0,5_daily_pollution,IT1930A
,,9.492381,,1.728571,20231026000000,LS1 Laives,11.340139999780511,46.43482999971158,VIA GALIZIA - Laives (BZ),230.0,6_daily_pollution,IT1696A
